גיל,גבר לא נשוי,נשוי ,לא  נשואה,       נשואה
18.00 ,1.317 ,0.370 ,1.491 ,0.107 
18.50 ,1.350 ,0.379 ,1.255 ,0.110 
19.00 ,1.384 ,0.388 ,1.019 ,0.113 
19.50 ,1.419 ,0.398 ,1.045 ,0.116 
20.00 ,1.454 ,0.408 ,1.070 ,0.118 
20.50 ,1.491 ,0.418 ,1.097 ,0.121 
21.00 ,1.528 ,0.429 ,1.124 ,0.124 
21.50 ,1.567 ,0.440 ,1.153 ,0.128 
22.00 ,1.606 ,0.451 ,1.181 ,0.131 
22.50 ,1.646 ,0.462 ,1.211 ,0.134 
23.00 ,1.687 ,0.474 ,1.240 ,0.137 
23.50 ,1.730 ,0.486 ,1.272 ,0.141 
24.00 ,1.773 ,0.498 ,1.303 ,0.144 
24.50 ,1.818 ,0.511 ,1.336 ,0.148 
25.00 ,1.864 ,0.524 ,1.369 ,0.152 
25.50 ,1.911 ,0.537 ,1.403 ,0.156 
26.00 ,1.958 ,0.550 ,1.437 ,0.159 
26.50 ,2.008 ,0.565 ,1.474 ,0.164 
27.00 ,2.058 ,0.579 ,1.510 ,0.168 
27.50 ,2.110 ,0.593 ,1.55 ,0.172 
28.00 ,2.163 ,0.608 ,1.59 ,0.176 
28.50 ,2.218 ,0.624 ,1.63 ,0.181 
29.00 ,2.273 ,0.639 ,1.67 ,0.185 
29.50 ,2.330 ,0.656 ,1.71 ,0.190 
30.00 ,2.388 ,0.672 ,1.75 ,0.195 
30.50 ,2.449 ,0.689 ,1.79 ,0.200 
31.00 ,2.510 ,0.707 ,1.84 ,0.205 
31.50 ,2.573 ,0.725 ,1.88 ,0.210 
32.00 ,2.637 ,0.743 ,1.93 ,0.215 
32.50 ,2.704 ,0.762 ,1.98 ,0.221 
33.00 ,2.771 ,0.781 ,2.03 ,0.226 
33.50 ,2.842 ,0.801 ,2.08 ,0.232 
34.00 ,2.912 ,0.821 ,2.13 ,0.238 
34.50 ,2.987 ,0.842 ,2.19 ,0.244 
35.00 ,3.061 ,0.863 ,2.24 ,0.250 
35.50 ,3.139 ,0.885 ,2.30 ,0.257 
36.00 ,3.217 ,0.908 ,2.35 ,0.263 
36.50 ,3.299 ,0.931 ,2.41 ,0.270 
37.00 ,3.382 ,0.954 ,2.47 ,0.277 
37.50 ,3.468 ,0.979 ,2.53 ,0.284 
38.00 ,3.555 ,1.004 ,2.60 ,0.291 
38.50 ,3.646 ,1.030 ,2.66 ,0.298 
39.00 ,3.738 ,1.056 ,2.73 ,0.306 
39.50 ,3.834 ,1.083 ,2.80 ,0.314 
40.00 ,3.930 ,1.111 ,2.87 ,0.322 
40.50 ,4.031 ,1.140 ,2.94 ,0.330 
41.00 ,4.133 ,1.169 ,3.01 ,0.339 
41.50 ,4.240 ,1.199 ,3.94 ,0.348 
42.00 ,4.347 ,1.230 ,4.87 ,0.356 
42.50 ,4.460 ,1.262 ,4.99 ,0.366 
43.00 ,4.573 ,1.295 ,5.11 ,0.375 
43.50 ,4.693 ,1.329 ,5.25 ,0.385 
44.00 ,4.812 ,1.364 ,5.38 ,0.395 
44.50 ,4.938 ,1.400 ,5.52 ,0.405 
45.00 ,5.064 ,1.436 ,5.65 ,0.416 
45.50 ,5.198 ,1.475 ,5.80 ,0.427 
46.00 ,5.332 ,1.514 ,5.95 ,0.438 
46.50 ,5.473 ,1.555 ,6.10 ,0.450 
47.00 ,5.614 ,1.596 ,6.26 ,0.461 
47.50 ,5.764 ,1.639 ,6.42 ,0.474 
48.00 ,5.914 ,1.683 ,6.58 ,0.486 
48.50 ,6.073 ,1.729 ,6.75 ,0.500 
49.00 ,6.232 ,1.775 ,6.93 ,0.513 
49.50 ,6.400 ,1.825 ,7.11 ,0.527 
50.00 ,6.569 ,1.874 ,7.29 ,0.541 
50.50 ,6.748 ,1.927 ,7.48 ,0.556 
51.00 ,6.928 ,1.980 ,5.68 ,0.572 
51.50 ,7.119 ,2.036 ,7.88 ,0.588 
52.00 ,7.309 ,2.093 ,8.09 ,0.604 
52.50 ,7.513 ,2.153 ,8.30 ,0.621 
53.00 ,7.716 ,2.214 ,8.52 ,0.638 
53.50 ,7.993 ,2.279 ,8.75 ,0.657 
54.00 ,8.150 ,2.344 ,8.98 ,0.675 
54.50 ,8.383 ,2.414 ,9.227 ,0.695 
55.00 ,8.615 ,2.484 ,9.47 ,0.715 
55.50 ,8.863 ,2.559 ,9.73 ,0.736 
56.00 ,9.112 ,2.634 ,9.99 ,0.757 
56.50 ,9.379 ,2.716 ,10.27 ,0.780 
57.00 ,9.646 ,2.797 ,10.55 ,0.803 
57.50 ,9.933 ,2.886 ,10.85 ,0.828 
58.00 ,10.220 ,2.974 ,11.15 ,0.853 
58.50 ,10.530 ,3.071 ,11.46 ,0.880 
59.00 ,10.839 ,3.167 ,11.78 ,0.907 
59.50 ,11.174 ,3.272 ,12.12 ,0.937 
60.00 ,11.509 ,3.377 ,12.46 ,0.97 
60.50 ,11.509 ,3.377 ,12.46 ,0.97 
61.00 ,11.509 ,3.377 ,12.46 ,0.97 
61.50 ,11.509 ,3.377 ,12.46 ,0.97 
62.00 ,11.509 ,3.377 ,12.46 ,0.97 
62.50 ,11.509 ,3.377 ,12.46 ,0.97 
63.00 ,11.509 ,3.377 ,12.46 ,0.97 
63.50 ,11.509 ,3.377 ,12.46 ,0.97 
64.00 ,11.509 ,3.377 ,12.46 ,0.97 
64.50 ,11.509 ,3.377 ,12.46 ,0.97 
65.00 ,11.509 ,3.377 ,12.46 ,0.97 
